title,txt_pl_lem_tokenized
Gdy kiedyś Pan,"['przyjść', 'deszcz', 'ożywić', 'suchy', 'ziemia', 'serce', 'przyjść', 'deszcz', 'spragniony', 'świat', 'dotknąć', 'wiatr', 'rozpędzić', 'smutek', 'otrzeć', 'łza', 'zabrać', 'radość', 'zmieniać', 'strach', 'nowa', 'staj', 'pan', 'przyjść', 'napełnić', 'przyjść', 'deszcz', 'spragniony', 'serce', 'pragnąć', 'pan', 'moc', 'objawić', 'pokazać', 'swój', 'chwała', 'przyjść', 'deszcz', 'pan', 'obmyć', 'gorycz', 'żal', 'ból', 'pozwolić', 'nadzieja', 'kwitnąć', 'złe', 'zniknąć', 'nowy', 'dzienia', 'nastawać', 'słońce', 'blask', 'pochmurny', 'czas', 'nowa', 'staj', 'pan', 'przyjść', 'napełnić', 'przyjść', 'deszcz', 'spragniony', 'serce', 'pragnąć', 'pan', 'moc', 'objawić', 'pokazać', 'swój', 'chwała']"
Gdy klęczę przed Tobą,"['przywołać', 'pan', 'przywołać', 'pan', 'pustynia', 'głód', 'tęsknota', 'przywołać', 'mowa', 'serce', 'mowa', 'serce', 'znać', 'ukryć', 'dolina', 'usychać', 'piękne', 'winnica', 'wiedzieć', 'otworzyć', 'ukryć', 'źródło', 'umilknąć', 'pragnienie', 'myśl', 'móc', 'mówić', 'słowo', 'miłość', 'przebaczenie', 'przeniknąć', 'duha', 'mowa', 'serce', 'mowa', 'serce', 'znać', 'ukryć', 'dolina', 'usychać', 'piękne', 'winnica', 'wiedzieć', 'otworzyć', 'ukryć', 'źródło']"
Gdy schodzimy się,"['radować', 'dusza', 'wielbić', 'pan', 'swój', 'śpiewać', 'siła', 'sławić', 'dzieło', 'śpiewać', 'siła', 'błogosławić', 'imię', 'miłosierny', 'pan', 'zastęp', 'moc', 'ramię', 'swój', 'lud', 'pan', 'zbawca']"
GLORIA!!! (Na niedzielę i święta),"['rozpiąć', 'ramię', 'sokół', 'niebo', 'chrystus', 'syn', 'bóg', 'spojrzeć', 'prosić', 'ziemia', 'ruchliwy', 'ulica', 'zabiegany', 'człowiek', 'dzienia', 'kończyć', 'ranek', 'budzić', 'uśmiechnąć', 'przyjaźnie', 'wysoki', 'krzyż', 'ciężko', 'pracująca', 'głód', 'poniże', 'rozpiąć', 'ramię', 'sokół', 'niebo', 'chrystus', 'syn', 'bóg', 'spojrzeć', 'prosić', 'ziemia', 'pocieszyć', 'zrozpaczony', 'chleb', 'dać', 'głodować', 'modlić', 'słuchać', 'wybaczyć', 'umierająca', 'spojrzeć', 'cierpienie', 'sokół', 'wszechświat', 'ziemia', 'cichy', 'ciemny', 'kościół', 'dziecko', 'wzywać', 'rozpiąć', 'ramię', 'sokół', 'niebo', 'chrystus', 'syn', 'bóg', 'spojrzeć', 'prosić', 'ziemia', 'sądzić', 'boski', 'miłosierdzie', 'prosić', 'dziecko', 'sądzić', 'miara', 'siebie']"
Godzien o godzien jest Bóg,"['schować', 'skrzydło', 'swój', 'ukryć', 'silny', 'dłoń', 'swój', 'fala', 'morze', 'chcieć', 'porwać', 'wznieść', 'podnieść', 'pan', 'król', 'spienić', 'woda', 'ufać', 'bóg', 'odpocząć', 'ramię', 'dusza', 'trwać', 'fala', 'morze', 'chcieć', 'porwać', 'wznieść', 'podnieść', 'pan', 'król', 'spienić', 'woda', 'ufać', 'bóg']"
Gwiazdo zaranna,"['serce', 'wielki', 'dać', 'zdolny', 'objąć', 'świat', 'pan', 'serce', 'dać', 'mężny', 'walc', 'zło', 'zwlec', 'siebie', 'uczynek', 'stara', 'człowiek', 'zniszczyć', 'budzić', 'boży', 'gniew', 'wdziać', 'biel', 'nowa', 'szata', 'chrystus', 'nowy', 'człowiek', 'powstanie', 'serce', 'wielki', 'dać', 'zdolny', 'objąć', 'świat', 'pan', 'serce', 'dać', 'mężny', 'walc', 'zło', 'nowy', 'człowiek', 'historia', 'wpisać', 'miłość', 'wskazać', 'droga', 'odnowa', 'ludzki', 'serce', 'nowy', 'człowiek', 'przeżyć', 'własne', 'życie', 'tworzyć', 'wspólny', 'wysiłek', 'nowy', 'świat', 'serce', 'wielki', 'dać', 'zdolny', 'objąć', 'świat', 'pan', 'serce', 'dać', 'mężny', 'walc', 'zło', 'nowy', 'człowiek', 'przynieść', 'ziemia', 'pokój', 'znak', 'wiara', 'jednoczyć', 'świat', 'nowy', 'człowiek', 'przynieść', 'ziemia', 'wolność', 'prawda', 'człowiek', 'wyzwolić', 'niszczyć', 'zło']"
Idź w pokoju,"['spocząć', 'duch', 'pan', 'duch', 'mądrość', 'rozum', 'duch', 'poznanie', 'bojaźń', 'boży', 'duch', 'miłość', 'moc']"
"Ja wierzę, że to Jezus","['błogosławić', 'pan', 'wszystek', 'dzieło', 'kwitnąć', 'cierpienie', 'błogosławić', 'pan', 'błogosławić', 'pan', 'wszystek', 'łza', 'żal', 'słabość', 'upokorzenie', 'błogosławić', 'pan', 'błogosławić', 'pan', 'wszystek', 'rana', 'duch', 'święty', 'staj', 'balsam', 'błogosławić', 'pan', 'błogosławić', 'wszystek', 'niemoc', 'ból', 'skrzętnie', 'skrywać', 'bezsenny', 'noc', 'błogosławić', 'pan', 'błogosławić', 'pan', 'ufać', 'wciąż', 'uzdrawiać', 'łaska', 'swój', 'deszcz', 'błogosławić', 'pan']"
Jak Dawid,"['stać', 'drzwi', 'kołatać', 'długo', 'słowo', 'życie', 'wieczny', 'mieć', 'usłyszeć', 'głos', 'drzwi', 'otworzyć', 'trwać', 'pan', 'wielki', 'miłość', 'cierpliwy', 'wierna', 'łaskawy', 'chcieć', 'wnieść', 'serce', 'pan', 'wejść', 'zamieszkać', 'pan', 'dar', 'życie', 'mieć', 'pan', 'przyjść', 'umocnić', 'wytrwały', 'miłość']"
Jak dobrze jest dziękować Ci,"['stać', 'serce', 'ręka', 'wyciągać', 'podziw', 'dać', 'stać', 'swój', 'dusza', 'pan', 'składać', 'chcieć']"
Jak ożywczy deszcz,"['duch', 'pan', 'wylać']"
Jak wielki jest Bóg,"['krew', 'grzech', 'odmywać', 'krew', 'czynić', 'biały', 'śnieg', 'krew', 'grzech', 'odmywać', 'baranek', 'święta', 'krew']"
Jeden chleb,"['czas', 'dzień', 'serce', 'bić', 'chwila', 'niespokojnie', 'czekać', 'wiercić', 'koniec', 'przytulić', 'czas', 'dzień', 'serce', 'bić', 'chwila', 'wiedzieć', 'poznać', 'wiedzieć', 'pewno', 'rozpoznać', 'zabrać', 'drugi', 'brzeg', 'niebo', 'biec', 'wcale', 'ciężko', 'wiedzieć', 'koniec', 'droga', 'spotkać', 'chociaż', 'tyle', 'trudny', 'dzień', 'codziennie', 'blisko', 'niebo', 'warto', 'żyć', 'czas', 'dzień', 'serce', 'bić', 'chwila', 'wiedzieć', 'poznać', 'wiedzieć', 'pewno', 'rozpoznać', 'zabrać', 'drugi', 'brzeg', 'niebo', 'biec', 'mijać', 'godzina', 'mijać', 'czas', 'szukać', 'niebo', 'pośród', 'gwiazda', 'wiedzieć', 'poznać', 'wiedzieć', 'pewno', 'rozpoznać', 'zabrać', 'drugi', 'brzeg', 'niebo', 'biec']"
Jeden jest tylko Pan,"['skruszyć', 'złam', 'wypalić', 'pan', 'zostać', 'zostać', 'jedynie']"
"Jedyny Pan, prawdziwy Bóg","['tchnąć', 'moc', 'tchnąć', 'miłość', 'przenikać', 'życie', 'serce', 'swój', 'oddawać', 'cześć', 'myśl', 'swój', 'oddawać', 'cześć', 'siła', 'swój', 'oddawać', 'cześć', 'pan', 'tchnąć', 'moc', 'tchnąć', 'miłość', 'przenikać', 'życie', 'serce', 'swój', 'uwielbić', 'chcieć', 'myśl', 'swój', 'uwielbić', 'chcieć', 'siła', 'swój', 'uwielbić', 'chcieć', 'pan']"
Jest jedno ciało,"['chór', 'anioł', 'chór', 'anioł', 'śpiewać', 'nowa', 'pieśń', 'chwała', 'baranek', 'alleluja', 'alleluja', 'alleluja', 'chwała', 'cześć']"
Jest zakątek na tej Ziemii,"['światło', 'droga', 'nikt', 'zgasić', 'wiedzieć', 'zgubić', 'jasno', 'świecić', 'ciemność', 'blask', 'swój', 'ogarniać']"
Jesteś blisko mnie (Twoja miłość),"['chleb', 'żywy', 'spożywać', 'umrzeć', 'uwierzyć', 'pragnąć', 'wiek']"
Jesteś Królem,"['błogosławiona', 'imię', 'błogosławiona', 'imię', 'wywyższyć', 'wszelki', 'chwała', 'cześć', 'jedynie', 'pan', 'powstanie', 'pan', 'chwalić', 'chwalić', 'wiek', 'powstanie', 'chwalić', 'bóg', 'wciąż', 'jedynie', 'pan', 'powstanie', 'pan', 'chwalić', 'chwalić', 'wiek', 'powstanie', 'chwalić', 'bóg', 'wciąż', 'pan', 'wszechświat']"
Jesteś życiem mym,"['dobry', 'łaska', 'pan', 'trwać', 'wiecznie', 'człowiek', 'naród', 'ras', 'pokolenie', 'pokolenie', 'wielbić', 'alleluja', 'alleluja', 'wielbić', 'dobroć', 'dobry', 'pan']"
Jezu mój Jezu,"['skała', 'zbawienie', 'siła', 'moc', 'nadzieja', 'natchnienie', 'wznosić', 'głos', 'pan', 'wierzyć', 'wierzyć', 'miłość', 'wierna', 'pomoc', 'potrzeba', 'pan', 'chcieć']"
Jezu Tyś jest,"['droga', 'pomyć', 'los', 'zły', 'oko', 'mgła', 'zasnuć', 'mieć', 'siebie', 'ufność', 'lękać', 'gniew', 'świat', 'przysłonić', 'zazdrość', 'chwast', 'zakiełkować', 'mieć', 'siebie', 'ufność', 'lękać', 'poprowadzić', 'powierzać', 'droga', 'poprowadzić', 'pan', 'poprowadzić', 'prowadzić', 'droga', 'prosty', 'możliwy', 'pokazać', 'głos', 'usłyszeć', 'karmić', 'dzienia', 'mieć', 'siebie', 'ufność', 'lękać', 'poprowadzić', 'powierzać', 'droga', 'poprowadzić', 'pan']"
Jezus Chrystus moim Panem jest,"['wskazać', 'droga', 'miłość', 'pan', 'zmienić', 'świat', 'swój', 'zmartwychwstanie', 'pan', 'wiedzieć', 'serce', 'dzieje', 'pan', 'oddać', 'życie', 'pan', 'bliski', 'pan', 'stopa', 'świat', 'wiedzieć', 'czekać', 'pan', 'serce', 'dzienia', 'noc', 'pan', 'oko', 'niewidoczny', 'pan', 'wiedzieć', 'serce', 'dzieje', 'móc', 'pomóc']"
