title,txt_pl_lem_tokenized
Duchu święty (o przyjdź i rozpal nas),"['powietrze', 'obecność', 'święty', 'serce', 'powszedni', 'chleb', 'żywy', 'słowo', 'dać', 'móc', 'żyć', 'serce', 'chcieć', 'bić']"
Duchu święty ogarnij mnie,"['prawda', 'jedyny', 'słowo', 'jezus', 'nazaret', 'swój', 'syn', 'posłać', 'człowiek', 'bóg', 'świat', 'niewinnie', 'cierpieć', 'zemrzeć', 'grzech', 'pohańbić', 'przyjąć', 'wina', 'dzięki', 'bóg', 'krzyż', 'jezus', 'cierpieć', 'jezus', 'cierpieć', 'uwierzyć', 'jezus', 'umrzeć', 'miłość', 'przyjść', 'niebo', 'świat', 'błogosławiony', 'wierzyć', 'widzieć', 'zaufać', 'bóg', 'wiek', 'żyć', 'dzięki', 'bóg', 'krzyż', 'jezus', 'cierpieć', 'jezus', 'cierpieć']"
Duchu święty powiej wiatrem,"['oblicze', 'uniżyć', 'wywyższyć', 'ziemia', 'czas', 'wywyższyć', 'wszystek', 'swój', 'troska', 'oddać', 'wywyższyć', 'ziemia', 'czas', 'wywyższyć', 'pokora', 'stanąć', 'swój', 'wywyższyć', 'ziemia', 'czas', 'wywyższyć']"
Duchu święty przyjdź (Niech wiara zagości),"['tron', 'stać', 'wpatrzyć', 'miłość', 'blask', 'podobny', 'stawać', 'widzieć', 'twarz', 'chwała', 'wypełniać', 'obecność', 'blask', 'wielbić', 'wiedzieć', 'chwała', 'cześć', 'mądrość', 'moc', 'błogosławieństwo', 'wiek', 'wiek', 'chwała', 'wypełniać', 'obecność', 'blask', 'wielbić', 'wiedzieć']"
"Duchu święty, cudownym wiatrem jesteś","['błogosławić', 'dusza', 'święty', 'imię', 'błogosławić', 'dusza', 'dobroć', 'zapominać', 'odpuszczać', 'wszystek', 'grzech', 'leczyć', 'wszystek', 'choroba', 'okazować', 'swój', 'miłosierdzie', 'ratować', 'zguba', 'napełniać', 'życie', 'dobro', 'odnowić', 'młodość', 'orzeł', 'odpłacać', 'grzech', 'chcieć', 'wiecznie', 'gniewać', 'pamiętać', 'żeśmy', 'proch', 'wiedzieć', 'błogosławić', 'dusza', 'święty', 'imię', 'błogosławić', 'dusza', 'dobroć', 'zapominać', 'ojciec', 'swój', 'dziecko', 'litować', 'pokorny', 'oddalać', 'wina', 'wschód', 'zachód', 'wysoko', 'niebo', 'ziemia', 'wielki', 'dobroć', 'człowiek', 'bać', 'dzień', 'człowiek', 'trawa', 'kwitnąć', 'polny', 'kwiat', 'mocno', 'wiatr', 'zawiać', 'znikać', 'ślad', 'błogosławić', 'dusza', 'święty', 'imię', 'błogosławić', 'dusza', 'dobroć', 'zapominać', 'błogosławić', 'wszystek', 'anioł', 'błogosławić', 'wszystek', 'człowiek', 'błogosławić', 'wszystek', 'dzieło', 'błogosławić', 'błogosławić', 'dusza', 'święty', 'imię', 'błogosławić', 'dusza', 'dobroć', 'zapominać']"
"Duszo ma, Pana chwal","['przychodzić', 'drzwi', 'zamknięty', 'jezu', 'zmartwychwstały', 'ślad', 'męka', 'posłać', 'duch', 'bóg', 'uzdrowić', 'życie']"
Dzielmy się wiarą jak chlebem,"['przyjaciel', 'mieć', 'pocieszać', 'ramię', 'oprzeć', 'nadzieja', 'mieć', 'ulecieć', 'strach', 'blisko', 'troszczyć', 'król', 'król', 'bóg', 'jezus']"
"Dzięki, o Panie! Składamy dzięki","['przyjaciel', 'chcieć', 'zostać', 'chcieć', 'byś', 'mówić', 'wystarczyć', 'byś', 'mieć', 'duży', 'miłość', 'życie', 'oddawać', 'móc', 'żyć', 'chcieć', 'źle', 'przyjaciel', 'otwierać', 'serce', 'swój', 'mieć', 'duży', 'miłość', 'życie', 'oddawać', 'móc', 'żyć']"
Gdy kiedyś Pan,"['przyjść', 'deszcz', 'ożywić', 'suchy', 'ziemia', 'serce', 'przyjść', 'deszcz', 'spragniony', 'świat', 'dotknąć', 'wiatr', 'rozpędzić', 'smutek', 'otrzeć', 'łza', 'zabrać', 'radość', 'zmieniać', 'strach', 'nowy', 'stawać', 'przyjść', 'napełnić', 'przyjść', 'deszcz', 'spragniony', 'serce', 'pragnąć', 'moc', 'objawić', 'pokazać', 'swój', 'chwała', 'przyjść', 'deszcz', 'obmyć', 'gorycz', 'żal', 'ból', 'pozwolić', 'nadzieja', 'kwitnąć', 'zły', 'zniknąć', 'nowy', 'dzień', 'nastawać', 'słońce', 'blask', 'pochmurny', 'czas', 'nowy', 'stawać', 'przyjść', 'napełnić', 'przyjść', 'deszcz', 'spragniony', 'serce', 'pragnąć', 'moc', 'objawić', 'pokazać', 'swój', 'chwała']"
Gdy klęczę przed Tobą,"['przywołać', 'przywołać', 'pustynia', 'głód', 'tęsknota', 'przywołać', 'mówić', 'serce', 'mówić', 'serce', 'znać', 'ukryć', 'dolina', 'usychać', 'piękny', 'winnica', 'wiedzieć', 'otworzyć', 'ukryć', 'źródło', 'umilknąć', 'pragnienie', 'myśleć', 'abyś', 'móc', 'mówić', 'słowo', 'miłość', 'przebaczenie', 'przeniknąć', 'dusza', 'mówić', 'serce', 'mówić', 'serce', 'znać', 'ukryć', 'dolina', 'usychać', 'piękny', 'winnica', 'wiedzieć', 'otworzyć', 'ukryć', 'źródło']"
